IS.AIR.GOOD.MT.K1,NY.ADJ.SVNX.GN.ZS,NE.CON.GOVT.KD.ZG,EG.ELC.ACCS.RU.ZS,NV.SRV.EMPL.KD,NE.GDI.TOTL.KD.ZG,NE.CON.PRVT.KD.ZG,SE.ENR.PRIM.FM.ZS,NV.IND.EMPL.KD,NE.IMP.GNFS.KD.ZG,NE.EXP.GNFS.KD.ZG,IS.AIR.PSGR,BN.KLT.PTXL.CD,NV.AGR.EMPL.KD,EG.ELC.ACCS.UR.ZS,EG.ELC.ACCS.ZS,FI.RES.TOTL.MO,NV.MNF.TECH.ZS.UN,EN.ATM.CO2E.PP.GD.KD,EN.ATM.CO2E.PP.GD,BX.TRF.PWKR.DT.GD.ZS,EG.FEC.RNEW.ZS,EG.EGY.PRIM.PP.KD,EG.ELC.RNEW.ZS,EN.ATM.CO2E.KD.GD,BN.CAB.XOKA.GD.ZS,EN.ATM.CO2E.PC,NV.IND.MANF.CD,NV.IND.MANF.ZS,FP.CPI.TOTL.ZG,ER.FSH.AQUA.MT,PA.NUS.PRVT.PP,AG.YLD.CREL.KG,NY.GNP.PCAP.CD,NY.GNP.PCAP.PP.CD,IT.NET.USER.ZS,NY.GNP.MKTP.PP.CD,NE.EXP.GNFS.ZS,NY.GNP.MKTP.PC.CD,NY.GDP.PCAP.PP.KD,NY.GDP.MKTP.PP.KD,NY.GDP.PCAP.PP.CD,NY.GDP.MKTP.PP.CD,NY.GNP.PCAP.CN,ER.FSH.CAPT.MT,ER.FSH.PROD.MT,PA.NUS.PPP,AG.LND.FRST.ZS,AG.LND.FRST.K2,BX.KLT.DINV.WD.GD.ZS,NY.GDP.PCAP.KD.ZG,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.KD,NY.GDP.MKTP.KD,NY.GDP.PCAP.KN,NY.GDP.MKTP.KN,NY.GDP.COAL.RT.ZS,NY.GDP.NGAS.RT.ZS,NY.GDP.PCAP.CD,NY.GDP.FRST.RT.ZS,NY.GDP.MKTP.CD,NY.GDP.PETR.RT.ZS,NY.GDP.TOTL.RT.ZS,NY.GDP.MINR.RT.ZS,BX.KLT.DINV.CD.WD,NY.GDP.PCAP.CN,NY.GDP.MKTP.CN,PA.NUS.ATLS,SG.LAW.INDX,SE.SEC.DURS,SH.DYN.MORT,SH.DYN.MORT.FE,SE.PRM.DURS,SH.DYN.MORT.MA,country,year,score
213.6000061035,5.87094534429158,,,,-16.8500891687574,,0.983500003814697,,-1.89991697919132,18.011603252985,5369100.0,1309000000.0,,,,5.69957895846503,24.8699996708686,0.243068870460469,0.477806954223093,0.0161582012085703,8.92290746696394,5.4390966150615,35.4414662987781,0.55048220230418,3.22032099029614,3.43815141220892,37867881956.1752,26.7897045521809,,300.0,,2250.8,3190.0,6880.0,0.0,224414841198.809,10.3595365925264,4143.33588014254,14144.7623700052,461383067225.134,7195.69144362769,234713747903.378,2020.24908019648,560857.0,561157.0,0.293642788186282,12.8637149256949,352040.0,1.2988816648031,-3.87410316538033,-2.46721377637459,6245.70857662189,203726588308.536,9885.79888093815,322461423553.512,0.000737055720447168,0.161468433605662,4333.48297312146,0.141486114906559,141352368714.691,2.2234650774898,2.58726669433904,0.0601100126165773,1836000000.0,2112.96289843501,68921999360.0,0.487589985132217,59.375,5.0,28.6,25.6,7.0,31.6,ARG,1990,0.771
1222.3000488281,9.24252822518367,2.64948807528424,100.0,,2.99907649173167,4.30787320989177,0.997169971466064,,5.6175478372509,4.67036780013879,17553400.0,-7566983509.70278,,99.9171524047852,100.0,3.2911342342281,28.4010166945873,0.496005439492048,0.891631130329691,0.762460771091467,8.0095771593438,7.4168653134115,9.65603064418908,0.430306077906528,-4.99785131682818,15.4528816707784,42971142747.2105,13.8268211756549,7.33302195235869,12401.0,1.386268,1716.1,17300.0,16720.0,0.585094712,285302511352.826,15.1463378398455,17567.8340554911,31154.6617041205,531657417446.988,17331.0252918878,295755679708.594,22829.4003551107,237505.0,249906.0,1.365519,17.4273589940513,1338822.0,2.72145818575387,2.04945715192424,3.57099814702293,35911.3720771917,612831155634.484,48344.3402031046,825001000000.0,0.370667297413451,0.153833839888029,18211.5000581403,0.193415291599349,310781069642.17,1.25372490883897,3.48454898146657,1.51290764372677,8457776859.55028,23665.8443255533,403860000000.0,1.2995,75.0,6.0,9.2,8.1,6.0,10.3,AUS,1990,0.336
53.9000015259,,2.11068806150803,100.0,,5.63202631784689,4.23483593733106,0.996230006217957,,7.98032981267842,8.57222045136908,2532100.0,,,99.8986892700195,100.0,,36.5257376531975,0.20039980899426,0.387487257984038,0.381364545664119,25.135754145631,4.36014723139158,66.2021259331386,0.22211035057295,,7.52709677839499,32595386663.4394,19.5811147493539,3.26187312306823,3126.0,0.940839,5577.3,20630.0,19510.0,0.130369377,149822966974.105,35.6974143906097,21779.4945988253,37560.3989653033,288383109195.754,19425.4046379638,149145342999.59,17996.3963870094,533.0,3659.0,0.922246,45.7213611043836,37756.7,0.392278455333375,3.55354764697123,4.34564139947821,33888.9959832052,260194627809.652,28247.2439550134,216878102000.0,0.00358144545365548,0.0189053251221389,21680.989623313,0.161451711193574,166463386179.354,0.067495755852194,0.25540869210023,0.00397445447866724,653000000.0,17915.0017257435,137548696000.0,0.8263,70.625,8.0,9.5,8.4,4.0,10.6,AUT,1990,0.68
,-17.2429788402496,,,,,,0.801169991493225,,,,8300.0,0.0,,,,3.92654765023901,1.67048677207568,0.0324346740814782,0.062480444683351,,95.2006722228931,9.78518863034865,98.1818181818182,0.117169325803817,-6.13410034398202,0.0384299783947547,133812151.47003,11.8198042067692,7.00216956651126,30.0,81.7141153900538,1348.5,220.0,610.0,0.0,3309511460.94772,7.87299229412311,205.409191549148,1184.84244047638,6444307085.5261,615.072101191288,3345350710.27906,35177.3510987493,17395.0,17425.0,71.148253592735,10.7663551401869,2764.8,0.110894210226116,0.99007908775603,3.49982214003705,327.986681933291,1783905459.60785,243368.643436363,1323671586798.71,0.0,0.0,208.146755438253,13.369280953136,1132101252.51817,0.0,13.3710325428176,0.00175158968155023,1255434.74294,35646.172602578,193878000000.0,171.255,47.5,7.0,174.3,166.1,6.0,182.1,BDI,1990,0.322
656.4000244141,,-0.38670372413624,100.0,,7.67091047102271,3.17452899347228,1.01820003986359,,4.86873335809427,4.57391540123754,3132700.0,,,99.8986892700195,100.0,,13.3693025264031,0.298702562375455,0.570709232029382,1.74504806529481,1.26946149475781,6.62193188658783,0.789563534968417,0.325654603446093,,10.6396716729644,,,3.44831217961809,675.0,0.975761,5755.1,19310.0,18700.0,0.00100674,186407891358.899,61.6136909555393,20665.4622975594,35619.6196924177,355034249310.19,18642.8939218853,185820789376.227,17119.2689672982,41460.0,42135.0,0.915381,23.254113345521,7632.0,3.91889227088431,2.83026797508926,3.13740231557445,32671.6452350891,325650670611.677,26535.6647921184,264491028000.0,0.00232406471993844,0.000143640055773226,20600.3752789827,0.0431297631455825,205331747947.851,0.0,0.0455974679212942,0.0,8046730000.0,17065.3508811093,170096820000.0,0.8284,61.25,6.0,10.0,8.6,6.0,11.3,BEL,1990,0.745
17.7000007629,1.25797515164688,57.3646233263888,,,46.2135265719814,-5.42824923217454,0.517300009727478,,35.3704724125527,74.9422707969026,76300.0,4621603.87854039,,,,,,0.0653536367959665,0.112861782283862,5.15567424073337,93.7032408560468,9.55184973912938,0.0,0.170532034661584,-0.925585973242121,0.14215759136896,144567171.004111,7.37600686870214,,,,847.9,370.0,1230.0,0.0,6147621823.95535,19.181303010653,385.866050629869,2175.20551783177,10829251969.7034,1259.5724477522,6270776392.84452,105057.743101531,38234.0,38234.0,86.0706297428472,42.8800106420717,48351.5,-0.15076002499864,5.50710721399919,8.97613436064655,833.612239782791,4150135201.30967,470055.002480834,2340166949630.82,0.0,0.0,393.686214423531,6.38683164426675,1959965243.76269,1.34912803112565,7.73595967539241,0.0,-2954844.09146129,107186.89843278,533629545100.0,272.2648,40.0,7.0,175.1,167.4,6.0,182.5,BEN,1990,0.392
69.5,15.2252514815513,0.416496920595804,,,5.51540957521223,7.63872917744428,0.84442001581192,,9.31270816836935,17.7864276285277,1044100.0,-280926.024903297,,,,1.91198264759594,24.0267877994467,0.0904413842654784,0.161392953736458,2.46489394757471,71.6649713034591,3.89946975846881,11.4330056906363,0.333845655677684,-1.25927362344054,0.137265537545881,4183373453.55621,13.2392185483245,6.12671846981463,192592.0,12.3265676497413,2490.6,320.0,870.0,0.0,89292745833.301,5.90831648660892,312.430400076828,1517.72928577649,156587099092.043,850.505145162814,87748279414.5115,10278.9606392652,653552.0,846144.0,13.5418936569638,14.7524775293847,19203.3,0.0102498456011247,3.08698402350078,5.62225816160702,411.164666100691,42420662839.6952,21653.2722874809,2234010455700.0,0.0,0.0938122345874692,306.268703808998,0.422271400921137,31598341233.559,0.0211318609264818,0.537215496435088,0.0,3238781.18895631,10076.2408226515,1039585474800.0,32.9000015259,38.125,7.0,143.8,140.1,5.0,147.3,BGD,1990,0.424
8.0,-0.390517173780275,5.79243071741399,100.0,,-36.1125318906353,5.6963202788634,0.981540024280548,,-69.503617486784,-71.3548556439407,1907000.0,0.0,,99.8986892700195,100.0,,30.7028735741626,0.705490843794568,1.13408054451943,,1.91684850938441,14.5998614940969,4.45646757314729,1.81191785457449,-8.28805964230479,8.5430107903053,,,23.8000000000003,7849.0,0.000592572055083148,3953.7,2250.0,6940.0,0.0,60466545236.4668,33.1191920794173,2178.85746743531,12109.3149052873,105572506936.303,7532.98417082485,65674733033.6764,4.79348642835767,49254.0,57103.0,0.00069114251255083,30.0732170297388,33270.0,0.0193872740170872,-7.46320765454847,-9.11737709653309,4714.8996124394,41105857427.2347,7659.21689672211,66775266419.3065,0.230743830953464,0.00147309937270855,2366.52982128614,0.395141678661593,20632090909.0909,0.0991663372146847,1.10979365581923,0.383268709616785,4000000.0,5.2063656068295,45390600.0,0.0022,68.125,7.0,18.4,16.2,4.0,20.5,BGR,1990,0.734
44.2999992371,18.4852700425729,,100.0,,,,1.03289997577667,,,,770900.0,-697606382.978723,,100.0,100.0,1.67257588200231,14.3371076724396,0.649181001274383,0.932401808332315,,0.0,12.484085388068,0.0,1.39722264057966,1.64738430583501,25.0588549616781,707351329.787234,16.7230948189135,0.929335437489092,0.0,0.242239846536649,,9070.0,28280.0,0.0,14026542137.8291,115.555828722334,8975.70385241907,38600.7213896988,19143294359.5147,26875.5966984858,13328441546.2767,3374.86464850957,8105.0,8105.0,0.119323777988453,0.318840579710145,2.2,2.16926559356137,1.31200257216315,4.43799717642639,17934.7616005435,8894404255.31915,6743.47036180436,3344296000.0,0.0,1.76848862283696,8528.98333446095,0.00128410109197343,4229787234.04255,8.6188073832718,10.3885801072007,0.0,91755319.1489362,3206.89773375732,1590400000.0,0.376,26.25,6.0,23.0,22.1,6.0,23.8,BHR,1990,0.25
,49.4960245328158,2.32042258762463,,,-7.11248757345764,7.3633089926165,,,-3.64399602101692,9.25180496983936,,0.0,,,,3.11061672656378,5.25426889920424,0.346382245513168,0.498333266622487,4.47721611856566,38.0116326948614,8.55506366695362,0.0,0.584667459867639,3.72494659019097,1.66191242961952,46966608.0743124,11.3972707882245,,99.0,,2013.8,2260.0,3270.0,0.0,613180619.761708,48.9676782443751,2153.99700079006,4797.91459044728,899858477.267568,3334.94177678189,625475000.118996,4307.99400158011,2033.0,2132.0,1.31767519217803,70.1459886014906,16000.3,4.17388152125633,9.01727033947068,11.4433887289319,2842.49174735285,533115012.199522,4950.4185710324,928460903.834268,0.0,0.0,2197.18502331181,0.763749696295813,412086445.492176,0.0,0.763749696295813,0.0,17200000.0,4394.37004662362,824172890.984353,2.0,63.125,6.0,38.3,34.6,6.0,41.8,BLZ,1990,0.655
